id,predicted_percentage
sample1900.npy,[34.306446]
sample1058.npy,[24.465195]
sample569.npy,[81.24835]
sample2614.npy,[67.495056]
sample1759.npy,[73.16758]
sample1411.npy,[49.94701]
sample819.npy,[49.94701]
sample1963.npy,[52.203102]
sample730.npy,[33.51855]
sample390.npy,[35.472374]
sample2362.npy,[18.83375]
sample27.npy,[49.94701]
sample1415.npy,[26.476086]
sample1176.npy,[54.767246]
sample2393.npy,[33.99109]
sample2687.npy,[60.70087]
sample503.npy,[45.918217]
sample1550.npy,[26.881903]
sample824.npy,[93.206955]
sample1027.npy,[61.03721]
sample987.npy,[30.968824]
sample2531.npy,[24.947264]
sample696.npy,[21.11035]
sample66.npy,[49.94701]
sample131.npy,[52.918797]
sample848.npy,[87.058846]
sample171.npy,[14.746316]
sample2358.npy,[8.541439]
sample1170.npy,[47.13302]
sample1758.npy,[68.27109]
sample1154.npy,[49.94701]
sample1268.npy,[39.07865]
sample401.npy,[49.94701]
sample103.npy,[57.064236]
sample107.npy,[34.868427]
sample1210.npy,[49.94701]
sample2057.npy,[51.858044]
sample784.npy,[73.93986]
sample245.npy,[63.705414]
sample542.npy,[15.145594]
sample650.npy,[44.315414]
sample2146.npy,[64.07852]
sample150.npy,[60.716915]
sample880.npy,[60.156948]
sample1598.npy,[46.56453]
sample2020.npy,[54.797737]
sample2120.npy,[44.94225]
sample353.npy,[40.537884]
sample1355.npy,[49.94701]
sample2571.npy,[62.054073]
sample170.npy,[60.10292]
sample1135.npy,[47.07507]
sample2385.npy,[54.28682]
sample1288.npy,[49.94701]
sample239.npy,[56.332336]
sample1671.npy,[80.080635]
sample1121.npy,[36.804577]
sample732.npy,[50.59219]
sample1041.npy,[32.603973]
sample2391.npy,[67.402275]
sample2560.npy,[65.529976]
sample1611.npy,[49.019066]
sample1397.npy,[41.926678]
sample1981.npy,[53.506195]
sample2421.npy,[22.126734]
sample1705.npy,[28.70066]
sample1914.npy,[43.71679]
sample968.npy,[25.904665]
sample488.npy,[67.1085]
sample1588.npy,[59.006924]
sample126.npy,[31.928843]
sample11.npy,[29.186403]
sample2430.npy,[92.50592]
sample1882.npy,[21.263123]
sample545.npy,[50.721825]
sample2058.npy,[13.749302]
sample1852.npy,[36.464725]
sample1417.npy,[7.3789635]
sample1157.npy,[50.95247]
sample748.npy,[57.97912]
sample342.npy,[54.67307]
sample701.npy,[10.914334]
sample1391.npy,[73.704445]
sample1138.npy,[49.94701]
sample2069.npy,[66.8404]
sample1293.npy,[49.58646]
sample1951.npy,[32.813454]
sample253.npy,[76.13762]
sample906.npy,[40.668983]
sample2096.npy,[78.65643]
sample671.npy,[49.94701]
sample1232.npy,[26.717127]
sample53.npy,[49.94701]
sample627.npy,[80.64009]
sample1332.npy,[52.215267]
sample1381.npy,[58.755177]
sample122.npy,[38.90739]
sample1368.npy,[14.305447]
sample1697.npy,[55.444]
sample2139.npy,[59.216194]
sample1152.npy,[7.3324404]
sample2100.npy,[66.386185]
sample2617.npy,[49.79953]
sample909.npy,[17.950705]
sample1867.npy,[64.62894]
sample1122.npy,[56.25516]
sample2406.npy,[38.110836]
sample228.npy,[84.15759]
sample2386.npy,[94.93965]
sample2093.npy,[12.959123]
sample1331.npy,[71.17809]
sample2154.npy,[29.952972]
sample1263.npy,[42.737354]
sample766.npy,[30.010677]
sample1612.npy,[49.94701]
sample2465.npy,[69.1317]
sample1190.npy,[67.82287]
sample422.npy,[26.607513]
sample2558.npy,[19.014137]
sample1290.npy,[10.813424]
sample1419.npy,[75.81635]
sample2443.npy,[81.127846]
sample434.npy,[57.934837]
sample12.npy,[61.07879]
sample77.npy,[60.581867]
sample298.npy,[91.01217]
sample1389.npy,[74.86095]
sample904.npy,[40.527424]
sample1291.npy,[25.209078]
sample1708.npy,[41.83364]
sample23.npy,[49.94701]
sample1980.npy,[16.627043]
sample1826.npy,[78.63139]
sample88.npy,[45.47016]
sample464.npy,[61.20898]
sample1180.npy,[14.786286]
sample1978.npy,[59.149456]
sample1502.npy,[27.495888]
sample1261.npy,[24.046665]
sample1222.npy,[8.8095045]
sample501.npy,[74.737755]
sample1762.npy,[65.760086]
sample315.npy,[78.93155]
sample283.npy,[49.94701]
sample692.npy,[34.1921]
sample282.npy,[21.730991]
sample837.npy,[71.008865]
sample2201.npy,[27.103615]
sample2119.npy,[62.143864]
sample354.npy,[47.447117]
sample2229.npy,[52.922314]
sample137.npy,[72.14226]
sample1706.npy,[62.509068]
sample665.npy,[33.689827]
sample276.npy,[58.93242]
sample2426.npy,[58.266346]
sample1095.npy,[50.069176]
sample2673.npy,[81.48016]
sample2232.npy,[72.21112]
sample318.npy,[59.929623]
sample1998.npy,[31.544956]
sample2645.npy,[24.14289]
sample299.npy,[50.71868]
sample1204.npy,[66.45636]
sample1209.npy,[15.92315]
sample1944.npy,[49.94701]
sample1363.npy,[27.58113]
sample1100.npy,[4.1117315]
sample1047.npy,[38.04554]
sample2308.npy,[14.814094]
sample1468.npy,[56.711815]
sample243.npy,[89.39418]
sample14.npy,[7.522349]
sample1709.npy,[23.08759]
sample1905.npy,[33.53543]
sample78.npy,[74.20553]
sample51.npy,[49.94701]
sample790.npy,[45.88881]
sample392.npy,[39.020004]
sample1390.npy,[25.63057]
sample415.npy,[49.884052]
sample1954.npy,[73.06248]
sample728.npy,[52.242046]
sample2284.npy,[18.780296]
sample2272.npy,[33.80081]
sample1192.npy,[57.667965]
sample414.npy,[27.396423]
sample1649.npy,[40.06378]
sample2305.npy,[45.745945]
sample924.npy,[69.220505]
sample1370.npy,[42.907673]
sample1470.npy,[93.128975]
sample290.npy,[38.747726]
sample2142.npy,[49.94701]
sample1198.npy,[51.177715]
sample638.npy,[79.33321]
sample2500.npy,[19.546295]
sample2162.npy,[92.76509]
sample532.npy,[76.84508]
sample2167.npy,[45.51162]
sample934.npy,[30.463501]
sample2183.npy,[58.35587]
sample710.npy,[15.4401045]
sample320.npy,[75.57028]
sample2441.npy,[22.483582]
sample2114.npy,[91.35991]
sample626.npy,[63.30964]
sample1712.npy,[49.94701]
sample2454.npy,[15.133597]
sample1784.npy,[55.512924]
sample2210.npy,[49.94701]
sample37.npy,[15.30389]
sample594.npy,[64.323135]
sample1631.npy,[34.700394]
sample1711.npy,[30.285236]
sample927.npy,[19.728529]
sample2288.npy,[47.036552]
sample145.npy,[82.199165]
sample1246.npy,[47.479984]
sample2077.npy,[42.93332]
sample1093.npy,[20.611507]
sample2697.npy,[60.359158]
sample1234.npy,[31.946262]
sample1088.npy,[65.50101]
sample1227.npy,[35.502113]
sample402.npy,[57.532303]
sample996.npy,[28.389639]
sample2566.npy,[58.945404]
sample244.npy,[70.64083]
sample515.npy,[13.959254]
sample242.npy,[54.034245]
sample2106.npy,[79.33733]
sample378.npy,[83.15494]
sample772.npy,[36.223602]
sample894.npy,[31.076511]
sample444.npy,[44.57202]
sample341.npy,[30.774467]
sample1374.npy,[10.037969]
sample743.npy,[61.04111]
sample2087.npy,[53.51268]
sample2357.npy,[30.96737]
sample2203.npy,[63.251675]
sample607.npy,[49.94701]
sample739.npy,[37.80396]
sample454.npy,[24.04355]
sample2703.npy,[30.251255]
sample261.npy,[93.35497]
sample1802.npy,[7.354045]
sample1986.npy,[73.21402]
sample174.npy,[82.22113]
sample2109.npy,[14.281261]
sample1540.npy,[49.94701]
sample172.npy,[59.457527]
sample796.npy,[41.97361]
sample1516.npy,[28.238947]
sample2657.npy,[50.00003]
sample2510.npy,[45.896896]
sample477.npy,[93.60905]
sample2716.npy,[25.185713]
sample1782.npy,[37.201275]
sample1028.npy,[13.975339]
sample945.npy,[61.911793]
sample2230.npy,[9.0737505]
sample2383.npy,[50.04674]
sample2312.npy,[82.65029]
sample418.npy,[36.49531]
sample1457.npy,[65.59178]
sample13.npy,[34.811535]
sample2683.npy,[26.272186]
sample1061.npy,[53.77633]
sample2641.npy,[60.300743]
sample1953.npy,[30.013203]
sample1438.npy,[50.769478]
sample916.npy,[30.257336]
sample555.npy,[61.521305]
sample1822.npy,[6.8947806]
sample2021.npy,[76.06695]
sample18.npy,[41.88021]
sample399.npy,[44.30021]
sample977.npy,[56.03467]
sample2532.npy,[75.71956]
sample1511.npy,[63.273567]
sample1214.npy,[38.44785]
sample160.npy,[52.834003]
sample1984.npy,[95.81602]
sample109.npy,[51.42693]
sample1483.npy,[12.159915]
sample1910.npy,[34.132317]
sample624.npy,[36.357758]
sample1148.npy,[9.964977]
sample2569.npy,[51.27598]
sample127.npy,[57.65331]
sample1228.npy,[43.371155]
sample781.npy,[56.857918]
sample911.npy,[15.184526]
sample835.npy,[11.706493]
sample2159.npy,[18.853977]
sample471.npy,[69.196526]
sample1432.npy,[53.09692]
sample1730.npy,[71.854095]
sample2170.npy,[70.6648]
sample450.npy,[31.973318]
sample1491.npy,[70.49361]
sample430.npy,[61.49822]
sample623.npy,[70.0891]
sample1789.npy,[31.433233]
sample2205.npy,[60.044712]
sample451.npy,[49.123226]
sample1673.npy,[49.94701]
sample2387.npy,[46.840652]
sample2130.npy,[33.850704]
sample1393.npy,[58.414383]
sample499.npy,[35.300102]
sample854.npy,[59.839027]
sample1512.npy,[83.772964]
sample508.npy,[48.22387]
sample1416.npy,[5.569303]
sample144.npy,[78.29836]
sample1458.npy,[49.758972]
sample1728.npy,[41.6695]
sample1142.npy,[27.778229]
sample1604.npy,[30.589735]
sample2427.npy,[88.589]
sample2684.npy,[72.78182]
sample2573.npy,[22.751867]
sample381.npy,[38.182503]
sample2543.npy,[67.773094]
sample359.npy,[91.08582]
sample738.npy,[49.94701]
sample1870.npy,[58.348644]
sample711.npy,[77.744225]
sample1091.npy,[16.156492]
sample1285.npy,[11.07601]
sample1509.npy,[55.586983]
sample439.npy,[78.236176]
sample998.npy,[21.279472]
sample1838.npy,[57.201283]
sample1236.npy,[11.013077]
sample67.npy,[54.42313]
sample2226.npy,[29.730362]
sample2567.npy,[49.238976]
sample1618.npy,[34.997402]
sample1162.npy,[42.18125]
sample1931.npy,[94.81054]
sample2666.npy,[81.11335]
sample524.npy,[13.012779]
sample287.npy,[18.971394]
sample1433.npy,[98.98966]
sample293.npy,[29.29162]
sample538.npy,[75.94298]
sample2721.npy,[49.94701]
sample1994.npy,[51.565353]
sample520.npy,[52.42553]
sample2267.npy,[58.775]
sample921.npy,[59.05433]
sample657.npy,[33.27069]
sample2425.npy,[40.467564]
sample2650.npy,[10.814472]
sample1839.npy,[35.15407]
sample1223.npy,[24.082367]
sample2688.npy,[29.602537]
sample2592.npy,[49.94701]
sample1313.npy,[73.47524]
sample1656.npy,[46.421455]
sample760.npy,[40.930183]
sample718.npy,[51.802505]
sample1928.npy,[38.24946]
